RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
1245,15725302,Streeton,587,Germany,Female,38,0,132122.42,2,0,0,31730.32,0,0,5,DIAMOND,916
1246,15722083,Ch'ang,626,France,Female,44,10,81553.93,1,1,0,20063.63,1,1,1,SILVER,780
1247,15771442,Pennington,666,France,Female,66,7,0,2,1,1,99792.82,0,0,5,GOLD,545
1248,15803633,T'ien,512,France,Male,24,6,0,2,1,0,37654.31,0,0,2,DIAMOND,572
1249,15672185,Liu,689,Spain,Female,28,3,0,2,1,1,192449.02,0,0,4,SILVER,731
1250,15806486,Cunningham,803,France,Female,26,4,0,2,1,1,181208.47,0,0,2,DIAMOND,1000
1251,15570895,Ch'in,548,Germany,Male,32,5,175214.71,1,1,1,155165.61,0,0,5,DIAMOND,574
1252,15614520,Smith,588,Germany,Female,40,10,125534.51,1,1,0,121504.18,1,1,5,SILVER,801
1253,15687492,Anderson,693,France,Male,68,4,97705.99,1,1,1,61569.07,0,0,1,GOLD,949
1254,15675337,Forbes,499,Germany,Female,55,4,126817.65,2,1,0,123269.71,0,0,5,PLATINUM,390
1255,15721047,Ansell,628,France,Female,46,1,46870.43,4,1,0,31272.14,1,1,1,DIAMOND,826
1256,15589017,Chiu,624,Spain,Male,46,3,0,2,1,1,62825.03,0,0,2,SILVER,591
1257,15611186,Yevdokimova,733,France,Male,42,9,120094.93,1,1,0,184056.45,0,0,5,PLATINUM,668
1258,15617301,Chamberlin,628,France,Female,38,3,0,2,1,1,48924.73,0,0,3,GOLD,914
1259,15726046,Johnston,633,France,Female,33,3,0,2,1,0,191111.02,0,0,5,PLATINUM,674
1260,15585748,McDonald,559,Germany,Female,36,1,104356.94,2,0,1,54184.06,0,0,5,GOLD,969
1261,15672826,Chen,704,Germany,Male,27,5,147004.34,1,1,0,64381.33,1,1,4,SILVER,828
1262,15595162,Cattaneo,744,Germany,Male,38,6,73023.17,2,1,0,78770.86,0,0,5,GOLD,353
1263,15650026,Barclay-Harvey,665,Spain,Female,40,1,173432.55,1,0,1,116766.79,0,0,5,PLATINUM,870
1264,15745826,Dawson,638,France,Female,42,7,165679.92,1,0,0,32916.29,0,0,3,GOLD,717
1265,15708610,Costa,837,Spain,Male,31,9,104678.62,1,0,1,50972.6,0,0,2,SILVER,263
1266,15624471,Chikwado,534,France,Female,55,8,116973.26,3,1,0,122066.5,1,1,1,PLATINUM,840
1267,15590097,Ch'eng,548,France,Female,36,3,0,1,1,0,65996.9,0,0,5,SILVER,409
1268,15689328,Harrison,837,Germany,Male,38,2,126732.85,1,1,1,79577.38,0,0,2,DIAMOND,644
1269,15582154,Crawford,658,France,Female,44,6,148481.09,1,1,0,130529.13,0,0,4,SILVER,940
1270,15734626,Gibson,554,France,Female,38,4,137654.05,2,1,1,172629.67,0,0,2,PLATINUM,326
1271,15702806,Martin,724,Germany,Male,30,7,115315.04,1,1,0,15216.53,0,0,1,SILVER,985
1272,15620756,Stokes,723,France,Male,42,2,99095.73,1,1,1,17512.53,0,0,3,DIAMOND,505
1273,15611331,Niu,585,Germany,Female,39,7,165610.41,2,0,0,131852.01,0,0,1,GOLD,791
1274,15576935,Ampt,474,France,Male,33,5,0,2,1,0,181945.52,1,1,1,DIAMOND,454
1275,15661275,Wynn,562,Spain,Male,32,6,161628.66,1,1,0,91482.5,0,0,5,SILVER,561
1276,15814940,Lawrence,719,France,Male,32,9,146605.27,1,1,1,77119.45,0,0,2,GOLD,603
1277,15768471,Wagner,635,Germany,Male,37,5,113488.68,1,1,0,95611.74,1,1,1,PLATINUM,969
1278,15697391,Argyle,743,France,Male,42,7,77002.2,2,1,1,80428.42,0,0,2,PLATINUM,993
1279,15793346,Ofodile,681,Spain,Male,67,7,0,2,0,1,163714.92,0,0,1,SILVER,444
1280,15608338,Chiemenam,521,France,Female,39,6,0,2,0,1,27375.15,0,0,5,GOLD,843
1281,15578546,Akobundu,741,Spain,Male,25,4,0,2,1,1,73873.65,0,0,5,SILVER,234
1282,15656921,Locke,790,Spain,Male,46,8,182364.53,1,0,0,139266.48,1,1,2,GOLD,661
1283,15761340,Bullen,622,France,Male,35,8,0,2,1,1,131772.51,0,0,5,SILVER,574
1284,15591135,Forster,669,France,Male,45,7,149364.58,1,0,1,173454.07,0,0,5,SILVER,263
1285,15623219,Smith,583,France,Male,59,7,127450.14,1,0,1,67552.71,0,0,2,GOLD,992
1286,15655229,Craig,520,Spain,Female,63,5,162278.32,1,1,1,34765.33,0,0,5,SILVER,998
1287,15805884,Archer,579,Spain,Male,37,5,152212.88,2,0,0,120219.14,0,0,3,SILVER,299
1288,15668289,McWilliams,698,Spain,Female,39,9,161993.89,1,0,0,90212.38,0,0,3,DIAMOND,515
1289,15568562,Moss,548,Spain,Male,39,7,131468.44,1,1,0,164975.82,0,0,1,DIAMOND,668
1290,15773276,Townsend,672,Germany,Male,40,10,102980.44,1,1,0,1285.81,1,1,2,SILVER,568
1291,15622801,Brown,653,Germany,Male,31,9,143321.97,1,1,0,83679.46,0,0,3,DIAMOND,495
1292,15779886,Munson,734,Spain,Female,37,2,130404.92,1,0,0,34548.74,0,0,2,DIAMOND,434
1293,15713673,T'ien,794,France,Female,41,7,0,2,1,1,74275.08,0,0,2,GOLD,266
1294,15783083,Shubin,641,France,Male,30,2,87505.47,2,0,1,7278.57,0,0,2,DIAMOND,893
1295,15742824,Isayeva,824,France,Male,30,0,133634.02,1,1,1,162053.92,0,0,1,PLATINUM,977
1296,15621550,Hung,534,Spain,Female,33,3,151233.62,1,0,0,199336.63,0,0,5,PLATINUM,472
1297,15799480,Webb,653,Spain,Male,55,2,70263.83,1,0,1,62347.71,0,0,1,GOLD,644
1298,15625247,Scott,498,France,Male,34,5,0,2,1,1,91711.66,0,0,1,GOLD,949
1299,15755241,Rahman,683,France,Male,30,10,57657.49,1,0,0,79240.9,0,0,3,GOLD,905
1300,15575679,Lori,618,Germany,Male,42,8,153572.31,2,1,1,76679.6,0,0,3,DIAMOND,594
1301,15668235,Cooke,538,France,Male,37,1,134752.08,1,1,0,162511.55,0,0,2,SILVER,710
1302,15683183,Volkova,643,Spain,Male,34,3,83132.09,1,1,1,21360.88,0,0,2,DIAMOND,893
1303,15684592,Lamb,428,France,Female,31,2,0,2,1,0,54487.43,0,0,3,PLATINUM,221
1304,15591169,Hawes,593,Germany,Female,32,9,134096.53,2,1,0,53931.05,1,1,3,DIAMOND,620
1305,15653455,Smith,718,France,Female,31,0,118100.59,2,1,0,103165.15,0,0,4,GOLD,870
1306,15732563,Swanton,811,Germany,Male,52,10,76915.4,1,0,0,146359.81,1,1,2,GOLD,488
1307,15656471,Mitchell,823,Spain,Female,46,3,81576.75,1,1,1,28370.95,1,1,1,SILVER,621
1308,15598510,Colombo,645,Spain,Male,49,2,0,2,0,0,10023.15,0,0,3,SILVER,553
1309,15766427,Shaw,710,France,Male,33,10,118327.17,2,1,1,192928.82,0,0,1,GOLD,809
1310,15785342,Shipp,591,Spain,Male,30,8,124857.69,2,0,0,50485.7,0,0,2,DIAMOND,650
1311,15641595,Jonathan,748,Germany,Female,27,2,90971.85,1,1,1,131662.47,0,0,3,GOLD,744
1312,15798429,Hernandez,850,France,Female,37,7,153147.75,1,1,1,152235.3,0,0,5,GOLD,867
1313,15648136,Green,542,France,Male,38,8,65942.26,1,1,1,68093.23,1,1,4,PLATINUM,258
1314,15812482,Young,809,France,Male,38,3,0,2,1,1,80061.31,0,0,3,DIAMOND,533
1315,15790810,Han,675,France,Male,54,2,0,1,1,0,149583.67,1,1,5,SILVER,752
1316,15687421,Highland,607,Spain,Female,27,5,100912.19,1,0,0,7631.27,0,0,4,GOLD,908
1317,15765643,Hamilton,850,France,Female,31,4,0,2,1,1,33082.81,0,0,1,PLATINUM,898
1318,15654878,Yobanna,789,France,Male,37,3,0,1,1,0,121883.87,1,1,4,SILVER,259
1319,15686835,Crawford,598,France,Female,43,5,0,3,1,1,100722.72,1,1,1,SILVER,858
1320,15768340,Beavers,756,Germany,Male,41,2,124439.49,2,0,1,47093.11,0,0,4,PLATINUM,938
1321,15673599,Williamson,687,France,Female,47,7,0,2,1,1,177624.01,0,0,1,DIAMOND,517
1322,15689096,Beneventi,724,France,Male,40,6,0,2,0,0,106149.48,0,0,3,PLATINUM,437
1323,15684294,Chidumaga,700,France,Female,44,2,58781.76,1,1,0,16874.92,0,0,3,PLATINUM,785
1324,15615828,Mitchell,635,Spain,Male,50,7,159453.64,2,0,0,54560.79,1,1,3,SILVER,997
1325,15746012,Chibugo,687,Germany,Male,26,2,142721.52,1,1,1,153605.75,0,0,5,GOLD,334
1326,15615797,Hyde,613,France,Female,46,8,167795.6,1,0,1,44390.38,0,0,2,DIAMOND,411
1327,15788494,Alekseeva,781,France,Female,38,3,128345.69,2,1,0,63218.85,0,0,2,SILVER,608
1328,15793856,Abdulov,703,Spain,Male,20,3,165260.98,1,1,1,41626.78,0,0,5,GOLD,751
1329,15629545,Buckley,593,Germany,Female,62,3,118233.81,1,0,1,24765.53,1,1,3,DIAMOND,376
1330,15661198,Howard,743,France,Female,40,6,0,1,1,0,28280.8,1,1,2,PLATINUM,744
1331,15715117,Peel,640,Spain,Female,46,8,0,2,1,0,89043.19,0,0,1,GOLD,429
1332,15701074,Herz,849,Germany,Male,37,7,143452.74,2,1,1,17294.12,0,0,1,PLATINUM,923
1333,15793046,Holden,778,France,Male,38,3,145018.49,2,1,1,126702.41,0,0,2,SILVER,598
1334,15623744,McLean,539,Germany,Female,38,8,82407.51,1,1,0,13123.41,0,0,2,SILVER,327
1335,15611329,Findlay,489,Germany,Male,28,1,79460.98,2,1,1,167973.63,0,0,3,PLATINUM,232
1336,15740428,Wyatt,568,Spain,Female,43,9,0,1,1,0,125870.79,1,1,1,PLATINUM,805
1337,15781534,Rapuluolisa,618,Spain,Male,38,5,126473.99,1,1,0,91972.49,0,0,1,SILVER,696
1338,15618243,Buckland,710,Germany,Female,30,10,133537.1,2,1,0,155593.74,0,0,1,PLATINUM,464
1339,15784161,Hargreaves,625,France,Male,52,5,164978.01,1,1,1,67788.49,0,0,3,PLATINUM,482
1340,15700325,Onyeoruru,682,Spain,Male,46,7,128029.72,1,1,1,62615.35,0,0,3,GOLD,586
1341,15659064,Salas,727,Spain,Male,43,2,97403.18,1,1,1,107415.02,1,1,1,GOLD,612
1342,15658364,Laney,794,France,Female,41,7,176845.41,3,1,0,166526.26,1,1,5,GOLD,226
1343,15704340,Fu,652,Spain,Male,71,4,0,1,1,1,120107.1,0,0,3,DIAMOND,305
1344,15793455,Tien,670,Spain,Male,42,3,81589.04,1,1,0,188227.8,0,0,2,GOLD,984
1345,15579777,Sazonova,460,Germany,Female,40,6,119507.58,2,1,0,91560.63,1,1,5,SILVER,766
1346,15632345,Tuan,568,Spain,Female,26,6,0,2,0,0,166495.2,0,0,5,SILVER,634
1347,15814468,Wei,643,France,Male,30,5,94443.77,1,1,1,165614.4,0,0,2,GOLD,606
1348,15754820,Bergamaschi,521,France,Male,37,2,0,2,1,1,86372.24,0,0,5,SILVER,942
1349,15707505,Taylor,615,France,Male,32,7,92199.84,1,1,1,2755.53,0,0,3,SILVER,721
1350,15699507,Messersmith,575,Spain,Male,43,3,0,1,1,0,83594.51,0,0,5,DIAMOND,600
1351,15799600,Coles,717,France,Female,41,3,135756.96,1,1,1,103706.41,0,0,2,SILVER,801
1352,15794472,Brookes,648,France,Female,54,9,120633.42,1,0,0,5924.38,1,1,4,SILVER,425
1353,15646632,Reid,535,Germany,Male,48,5,134542.73,1,1,1,58203.67,1,1,4,SILVER,351
1354,15676353,Etheridge,626,Spain,Male,29,7,0,2,1,0,49361.84,0,0,5,PLATINUM,429
1355,15566312,Jolly,611,Spain,Male,52,7,0,1,0,1,73585.18,1,1,2,PLATINUM,380
1356,15570414,Chizoba,734,Spain,Male,39,6,0,1,1,1,95135.27,0,0,1,GOLD,593
1357,15776743,Eberegbulam,709,France,Male,49,4,154344.49,2,1,1,38794.57,0,0,2,DIAMOND,330
1358,15674637,Pagnotto,591,France,Male,43,3,0,2,0,1,198926.36,0,0,3,PLATINUM,785
1359,15730418,Lucchesi,664,France,Male,43,9,189026.53,2,1,1,56099.86,0,0,3,GOLD,616
1360,15739972,Hughes,431,France,Male,37,0,120764.08,1,1,1,117023.08,0,0,2,SILVER,389
1361,15661591,Panicucci,647,Germany,Female,22,3,97975.82,2,0,1,62083,0,0,5,DIAMOND,299
1362,15675585,Burns,578,France,Male,32,4,0,2,1,1,141822.8,0,0,4,DIAMOND,434
1363,15814750,Ricci,555,Germany,Male,41,10,113270.2,2,1,1,185387.14,0,0,1,SILVER,398
1364,15593454,Lambert,775,Spain,Male,30,4,0,2,0,1,57461.13,0,0,5,PLATINUM,368
1365,15663421,Esposito,850,Germany,Male,39,3,124548.99,2,1,1,120380.12,0,0,2,DIAMOND,243
1366,15576196,Benson,625,France,Male,43,8,201696.07,1,1,0,133020.9,1,1,4,GOLD,538
1367,15677324,Botts,645,Spain,Female,37,7,0,2,1,0,13589.93,0,0,4,DIAMOND,318
1368,15568742,Parkes,608,Germany,Male,44,7,114203.47,1,1,1,77830.36,1,1,4,PLATINUM,268
1369,15693764,Mai,689,Spain,Female,31,4,0,2,1,1,136610.02,0,0,5,PLATINUM,840
1370,15714260,Castiglione,652,Germany,Male,50,8,125437.64,1,1,1,17160.94,1,1,1,DIAMOND,765
1371,15798200,Manna,769,France,Female,26,7,0,2,1,0,176843.53,0,0,1,GOLD,667
1372,15656627,Lin,611,France,Female,43,8,64897.75,1,1,0,114996.33,0,0,4,SILVER,692
1373,15791111,Fink,489,France,Male,38,8,0,2,0,1,196990.79,0,0,1,DIAMOND,821
1374,15638269,Baresi,528,Germany,Female,46,9,135555.66,1,1,0,133146.03,1,1,4,PLATINUM,764
1375,15807473,Morehead,632,France,Male,44,3,107764.75,1,1,0,185667.72,0,0,4,GOLD,582
1376,15708534,Afamefuna,429,France,Female,27,6,117307.44,2,1,1,24020.49,0,0,4,DIAMOND,985
1377,15640686,Greco,457,France,Male,41,8,73700.12,3,1,1,185750.02,1,1,5,DIAMOND,310
1378,15588904,Balashova,768,Spain,Female,44,6,60603.4,1,1,1,178045.97,0,0,4,DIAMOND,570
1379,15768763,Bogdanov,715,Spain,Female,35,4,40169.88,2,1,1,199857.47,0,0,5,GOLD,484
1380,15770543,Lowe,668,Germany,Female,32,10,92041.87,1,1,1,43595.9,0,0,2,SILVER,995
1381,15642162,Ponce,625,Germany,Male,26,3,130483.95,1,1,0,122810.53,0,0,3,PLATINUM,343
1382,15714046,Trevisano,846,France,Female,41,5,0,3,1,0,3440.47,1,1,1,GOLD,994
1383,15575060,Gardner,661,Spain,Female,42,3,0,2,1,0,35989.41,0,0,3,PLATINUM,465
1384,15812040,Lorenzo,571,France,Female,23,10,151097.28,1,0,1,17163.75,0,0,2,GOLD,841
1385,15812073,Palmer,582,Spain,Female,46,8,67563.31,1,1,0,44506.09,1,1,1,SILVER,454
1386,15706810,Zuyeva,716,France,Female,35,8,112808.18,1,0,1,17848.3,0,0,1,SILVER,565
1387,15584090,Jen,758,France,Female,42,7,0,2,0,1,76209.56,0,0,2,SILVER,430
1388,15810807,Alekseeva,725,France,Male,66,4,86459.8,1,1,1,141476.56,0,0,5,DIAMOND,279
1389,15582033,Manfrin,630,France,Female,40,0,118633.08,1,0,1,60032.46,1,1,4,DIAMOND,475
1390,15687607,Chiemenam,627,France,Female,55,2,159441.27,1,1,0,100686.11,1,1,3,DIAMOND,485
1391,15588406,Chiemenam,653,France,Female,27,9,0,2,1,0,96429.29,0,0,3,GOLD,834
1392,15784099,Clark,775,Germany,Female,38,4,125212.65,2,1,1,15795.88,1,1,2,GOLD,332
1393,15701352,Fanucci,794,Spain,Male,45,8,88656.37,2,1,0,116547.31,0,0,4,DIAMOND,618
1394,15789371,Cattaneo,831,France,Female,32,2,146033.62,1,1,0,191260.74,0,0,5,SILVER,360
1395,15602845,Udinesi,561,France,Male,29,9,120268.13,1,1,1,173870.39,0,0,5,GOLD,566
1396,15707918,Bentley,705,Spain,Male,46,7,0,2,1,0,117273.35,0,0,2,GOLD,946
1397,15602812,Holmes,636,Spain,Female,33,0,0,1,1,0,92277.47,1,1,2,SILVER,618
1398,15675888,Austin,487,Germany,Female,46,4,135070.58,2,1,1,44244.49,1,1,2,PLATINUM,400
1399,15591822,Mackenzie,693,France,Female,38,3,0,2,0,0,78133.48,1,1,5,GOLD,724
1400,15738501,Booth,517,Spain,Female,29,5,0,2,1,0,103402.88,0,0,1,PLATINUM,584
1401,15585907,Collier,684,France,Female,27,9,122550.05,2,0,1,137835.82,0,0,2,GOLD,807
1402,15579040,Hs?,620,Spain,Female,43,2,0,2,1,0,20670.1,0,0,5,GOLD,540
1403,15804211,Oluchukwu,757,France,Male,29,8,130306.49,1,1,0,77469.38,0,0,1,GOLD,889
1404,15736126,Sung,739,France,Female,27,6,0,1,1,1,57572.38,0,0,2,SILVER,746
1405,15745399,Marino,662,Spain,Female,41,4,90350.77,1,1,0,75884.65,1,1,3,PLATINUM,709
1406,15760749,Vinogradov,359,France,Female,44,6,128747.69,1,1,0,146955.71,1,1,1,PLATINUM,981
1407,15637118,Burns,572,Spain,Male,23,2,126873.52,1,0,1,67040.12,0,0,4,GOLD,628
1408,15657829,Fanucci,721,France,Male,69,2,108424.19,1,1,1,178418.35,0,0,1,PLATINUM,260
1409,15738497,Chukwujamuike,707,France,Male,32,9,0,2,0,0,30807.02,0,0,4,DIAMOND,263
1410,15690695,Flynn,444,France,Female,40,5,84350.07,1,1,0,143835.76,0,0,2,GOLD,580
1411,15762351,Chao,523,France,Female,73,7,0,2,0,0,130883.9,1,1,5,DIAMOND,566
1412,15791172,Yeh,685,Germany,Female,30,4,84958.6,2,0,1,194343.72,0,0,2,GOLD,987
1413,15598982,Klein,673,Germany,Female,29,4,99097.36,1,1,1,9796.69,0,0,4,PLATINUM,712
1414,15734765,Mahmood,503,Germany,Male,30,10,136622.55,2,0,0,47310.24,0,0,3,PLATINUM,303
1415,15642912,Tu,485,Germany,Female,30,5,156771.68,1,1,1,141148.21,0,0,5,PLATINUM,644
1416,15769516,Shcherbakov,799,Germany,Male,28,7,167658.33,2,1,1,111138.25,0,0,5,DIAMOND,938
1417,15789379,Zetticci,585,Spain,Female,33,8,0,2,1,0,114182.07,0,0,4,PLATINUM,779
1418,15695103,Carr,607,Germany,Female,24,2,109483.54,2,0,1,127560.77,0,0,3,GOLD,260
1419,15801924,Browne,521,Germany,Female,40,9,134504.78,1,1,0,18082.06,0,0,5,PLATINUM,257
1420,15767804,Feng,535,France,Female,44,2,114427.86,1,1,1,136330.26,0,0,1,PLATINUM,948
1421,15718039,Ferguson,724,Spain,Male,45,5,83888.54,1,0,1,34121.81,0,0,3,SILVER,559
1422,15579994,Shaw,520,Germany,Male,32,5,110029.77,1,1,0,56246.69,0,0,4,DIAMOND,483
1423,15595037,Palermo,696,Spain,Male,41,9,127523.75,1,0,1,191417.42,0,0,1,DIAMOND,824
1424,15600720,Moore,657,Germany,Male,30,1,139762.13,2,1,1,23317.88,0,0,5,SILVER,731
1425,15782608,Huang,603,Spain,Female,42,8,91611.12,1,0,0,144675.3,1,1,3,DIAMOND,416
1426,15566894,Gray,726,France,Female,42,2,109471.79,1,0,1,175161.05,0,0,5,GOLD,899
1427,15749123,Sokolova,591,France,Female,39,4,150500.64,1,1,0,14928.8,0,0,1,DIAMOND,733
1428,15668943,Henderson,792,Germany,Female,59,9,101609.77,1,0,0,161479.19,1,1,5,DIAMOND,779
1429,15577423,Mosley,550,France,Male,57,5,0,1,1,1,133501.94,0,0,5,PLATINUM,484
1430,15623102,Nnaemeka,601,France,Female,26,8,78892.23,1,1,1,23703.52,0,0,1,SILVER,876
1431,15728012,Everett,820,France,Female,29,3,82344.84,1,0,1,115985.38,0,0,2,GOLD,816
1432,15683363,Goddard,667,France,Male,48,2,0,1,1,0,43229.2,0,0,4,SILVER,487
1433,15699335,Kuo,573,Spain,Female,44,4,0,1,1,1,94862.93,0,0,4,PLATINUM,920
1434,15574369,Bianchi,755,France,Male,62,1,127706.33,2,0,1,142377.69,0,0,2,DIAMOND,673
1435,15703167,Rouse,552,France,Female,41,9,124349.34,1,1,0,135635.25,0,0,3,DIAMOND,539
1436,15754874,Nwoye,598,Spain,Male,44,8,0,2,1,0,148487.9,0,0,4,SILVER,909
1437,15723216,Greco,576,Germany,Male,28,1,119336.29,2,0,1,58976.85,0,0,1,GOLD,592
1438,15725094,Fang,670,France,Female,31,9,0,1,0,1,76254.83,0,0,3,DIAMOND,761
1439,15647974,Chiemenam,504,Germany,Male,56,9,104217.3,1,0,0,55857.48,1,1,4,GOLD,359
1440,15583371,Artemiev,778,France,Female,65,7,0,1,1,1,77867.23,0,0,1,DIAMOND,656
1441,15772559,Burrows,558,Germany,Male,39,10,144757.02,1,1,0,22878.16,1,1,4,DIAMOND,254
1442,15711251,Chizuoke,627,Spain,Male,44,6,0,1,1,1,114469.55,0,0,5,SILVER,258
1443,15719212,T'ien,683,France,Male,43,8,0,1,1,0,96754.8,0,0,1,SILVER,309
1444,15764927,Rogova,556,France,Female,43,6,0,3,0,0,125154.57,1,1,4,GOLD,877
1445,15731412,Trevisano,583,France,Female,38,10,0,2,0,1,113597.64,0,0,4,SILVER,691
1446,15719170,Sagese,705,France,Female,24,7,100169.51,1,1,0,121408.55,0,0,1,SILVER,566
1447,15596011,Artyomova,637,France,Male,33,2,145731.83,1,0,1,109219.43,0,0,4,SILVER,721
1448,15614834,Long,697,Spain,Male,56,5,110802.03,1,1,1,50230.31,1,1,1,DIAMOND,238
1449,15600510,Hsueh,555,Germany,Female,46,4,120392.99,1,1,0,177719.88,1,1,5,SILVER,594
1450,15625706,White,594,Germany,Female,26,6,135067.52,2,0,0,131211.86,0,0,3,PLATINUM,285
1451,15781409,Lazarev,632,Spain,Male,31,3,136556.44,1,1,0,82152.83,1,1,4,SILVER,964
1452,15722583,Benjamin,551,France,Female,38,10,0,2,1,1,216.27,0,0,2,SILVER,912
1453,15677243,Wan,687,France,Female,35,3,99587.43,1,1,1,1713.1,1,1,5,SILVER,827
1454,15815070,Romano,672,France,Female,53,7,0,1,1,1,136910.18,0,0,3,PLATINUM,311
1455,15705899,Craig,521,Spain,Female,34,7,70731.07,1,1,1,20243.97,1,1,2,GOLD,773
1456,15701522,Yermolayeva,686,Germany,Male,35,2,109342.82,2,0,1,86043.27,0,0,5,PLATINUM,663
1457,15755978,Tseng,639,Spain,Male,28,8,0,2,1,0,126561.07,0,0,5,PLATINUM,249
1458,15722090,Tseng,850,France,Male,66,4,0,2,0,1,64350.8,0,0,5,SILVER,518
1459,15783526,Le Hunte,465,France,Male,25,2,78247.31,2,1,1,10472.31,0,0,2,GOLD,945
1460,15632125,Blake,817,France,Female,55,10,117561.49,1,1,0,95941.55,1,1,3,GOLD,226
1461,15688395,Lane,578,France,Male,23,10,88980.32,1,1,1,125222.36,0,0,5,PLATINUM,813
1462,15666975,Sparks,611,Spain,Male,34,4,0,2,1,0,170950.58,0,0,4,DIAMOND,911
1463,15682211,Tu,616,Germany,Female,41,1,103560.57,1,1,0,236.45,1,1,3,PLATINUM,289
1464,15637411,Tochukwu,517,France,Male,37,5,113308.84,1,0,1,31517.16,0,0,2,DIAMOND,728
1465,15591512,Whittaker,637,Spain,Female,40,6,0,2,1,1,181610.6,0,0,3,PLATINUM,230
1466,15606855,Wang,806,France,Female,32,3,63763.49,1,1,0,156593.09,0,0,1,GOLD,411
1467,15763683,Northern,633,France,Female,29,7,169988.35,1,1,0,4272,0,0,3,DIAMOND,613
1468,15641782,Humphries,624,Germany,Female,35,0,180303.24,2,1,0,163587.9,0,0,5,DIAMOND,501
1469,15677184,Cremonesi,691,France,Male,52,3,0,1,1,0,175843.68,1,1,3,SILVER,660
1470,15775042,Ku,819,Germany,Female,49,1,120656.86,4,0,0,166164.3,1,1,3,PLATINUM,991
1471,15616630,Tobenna,568,Germany,Female,31,1,61592.14,2,1,1,61796.64,0,0,5,SILVER,927
1472,15800233,Okwuadigbo,806,France,Male,48,4,164701.68,1,1,1,21439.49,0,0,2,PLATINUM,851
1473,15588419,Johnston,726,Spain,Female,26,1,80780.16,1,1,1,19225.85,0,0,2,SILVER,457
1474,15595557,Li,552,France,Male,36,8,0,2,0,0,132547.02,0,0,4,SILVER,498
1475,15626143,Talbot,755,Germany,Female,30,6,154221.37,2,0,1,62688.55,0,0,2,GOLD,356
1476,15566030,Tu,634,France,Male,26,8,0,1,1,0,21760.96,0,0,4,DIAMOND,783
1477,15701412,T'ien,756,France,Female,26,5,101641.14,2,0,1,154460.68,0,0,5,GOLD,351
1478,15702464,Ross,776,France,Male,37,2,0,1,0,1,8065,0,0,3,SILVER,846
1479,15573348,Maclean,649,France,Female,45,5,92786.66,1,1,0,173365.9,1,1,1,GOLD,919
1480,15704160,Wan,595,Germany,Male,32,8,131081.66,2,1,1,69428.79,0,0,1,GOLD,972
1481,15693704,Tsou,646,France,Male,30,5,98014.74,1,1,1,12757.14,0,0,4,PLATINUM,329
1482,15664752,Jack,592,Spain,Male,38,8,0,2,1,0,180426.2,0,0,2,GOLD,588
1483,15628292,Lucchesi,574,France,Male,26,8,97460.1,1,1,1,43093.67,0,0,5,PLATINUM,241
1484,15621195,Ch'eng,850,France,Male,36,1,104077.19,2,0,1,68594,0,0,1,DIAMOND,388
1485,15668629,Saunders,850,Spain,Female,29,1,0,2,1,1,197996.65,0,0,3,DIAMOND,534
1486,15635197,Glover,475,France,Female,46,10,0,2,0,0,122953,1,1,3,DIAMOND,800
1487,15592761,Tung,642,France,Female,39,4,0,1,1,1,76821.24,0,0,4,PLATINUM,445
1488,15574283,Padovano,710,Spain,Female,51,4,93656.95,1,0,1,141400.51,1,1,5,DIAMOND,933
1489,15598097,Johnstone,596,Spain,Male,30,6,121345.88,4,1,0,41921.75,1,1,2,SILVER,317
1490,15711352,Endrizzi,609,France,Female,39,8,141675.23,1,0,1,175664.25,0,0,4,SILVER,440
1491,15620751,Secombe,797,Spain,Female,31,8,0,2,1,0,117916.63,0,0,5,DIAMOND,346
1492,15656717,Elewechi,504,Germany,Female,43,7,102365.49,1,1,0,194690.77,1,1,4,SILVER,940
1493,15643121,Chu,735,Spain,Male,50,9,0,1,0,0,166677.35,1,1,2,PLATINUM,886
1494,15723671,Lucciano,680,Spain,Female,30,3,0,1,1,0,160131.58,0,0,4,GOLD,916
1495,15752846,Pinto,449,France,Male,52,6,0,2,0,1,123622,0,0,3,PLATINUM,995
1496,15640852,McGregor,685,Germany,Male,57,7,101868.51,1,0,1,113483.96,0,0,4,DIAMOND,911
1497,15789313,Ugorji,569,Spain,Male,38,8,0,2,0,0,79618.79,0,0,1,DIAMOND,225
1498,15793688,Bancks,631,France,Male,35,9,112392.45,2,1,0,24472.23,0,0,2,DIAMOND,549
1499,15770405,Warlow-Davies,595,Germany,Female,25,7,106570.34,2,0,1,177025.79,0,0,3,GOLD,506
1500,15702561,Dale,461,France,Female,28,8,0,1,1,1,103349.74,0,0,4,DIAMOND,861
1501,15625964,Buckley,630,France,Male,50,1,81947.76,1,0,1,63606.22,1,1,1,GOLD,912
1502,15761364,Nkemjika,661,France,Female,31,7,144162.3,2,1,1,14490.79,0,0,5,PLATINUM,410
1503,15590286,Fairley,796,Germany,Male,39,5,86350.87,2,0,0,105080.53,0,0,1,GOLD,570
1504,15587978,Boothby,710,France,Male,47,5,158623.14,1,0,0,83499.89,1,1,2,PLATINUM,720
1505,15773242,Chukwuhaenye,741,France,Male,32,8,0,2,1,0,143598.7,0,0,4,DIAMOND,870
